price_id,normal_price,discount_percentage,discounted_price
1,1099.00,0.64,399.00
2,349.00,0.43,199.00
3,1899.00,0.9,199.00
4,699.00,0.53,329.00
5,399.00,0.61,154.00
6,1000.00,0.85,149.00
7,499.00,0.65,176.63
8,299.00,0.23,229.00
9,999.00,0.5,499.00
10,299.00,0.33,199.00
11,339.00,0.55,154.00
12,799.00,0.63,299.00
13,700.00,0.69,219.00
14,899.00,0.61,350.00
15,399.00,0.6,159.00
16,399.00,0.13,349.00
17,24999.00,0.44,13999.00
18,399.00,0.38,249.00
19,499.00,0.6,199.00
20,21990.00,0.39,13490.00
21,1799.00,0.46,970.00
22,499.00,0.44,279.00
23,22900.00,0.41,13490.00
24,199.00,0.7,59.00
25,19990.00,0.42,11499.00
26,699.00,0.72,199.00
27,19999.00,0.25,14999.00
28,399.00,0.25,299.00
29,1999.00,0.51,970.00
30,999.00,0.7,299.00
31,750.00,0.73,199.00
32,499.00,0.64,179.00
33,1099.00,0.65,389.00
34,599.00,0,599.00
35,999.00,0.8,199.00
36,666.66,0.85,99.00
37,1900.00,0.53,899.00
38,999.00,0.8,199.00
39,45999.00,0.28,32999.00
40,1999.00,0.51,970.00
41,695.00,0.7,209.00
42,34999.00,0.43,19999.00
43,1099.00,0.64,399.00
44,1599.00,0.38,999.00
45,199.00,0.7,59.00
46,999.00,0.67,333.00
47,1208.00,0.58,507.00
48,475.00,0.35,309.00
49,999.00,0.6,399.00
50,395.00,0.5,199.00
51,2199.00,0.45,1199.00
52,500.00,0.64,179.00
53,2100.00,0.62,799.00
54,12999.00,0.46,6999.00
55,349.00,0.43,199.00
56,499.00,0.54,230.00
57,1399.00,0.54,649.00
58,21999.00,0.27,15999.00
59,1499.00,0.77,348.00
60,349.00,0.56,154.00
61,799.00,0.78,179.00
62,47900.00,0.31,32990.00
63,999.00,0.86,139.00
64,845.00,0.61,329.00
65,24999.00,0.44,13999.00
66,1400.00,0.78,309.00
67,699.00,0.62,263.00
68,14990.00,0.47,7999.00
69,2999.00,0.47,1599.00
70,700.00,0.69,219.00
71,899.00,0.61,349.00
72,599.00,0.42,349.00
73,42999.00,0.37,26999.00
74,499.00,0.77,115.00
75,999.00,0.6,399.00
76,499.00,0.6,199.00
77,399.00,0.55,179.00
78,30990.00,0.65,10901.00
79,499.00,0.58,209.00
80,3999.00,0.64,1434.00
81,1099.00,0.64,399.00
82,249.00,0.44,139.00
83,19125.00,0.62,7299.00
84,799.00,0.63,299.00
85,1299.00,0.75,325.00
86,39999.00,0.25,29999.00
87,40990.00,0.32,27999.00
88,52900.00,0.41,30990.00
89,999.00,0.8,199.00
90,1999.00,0.68,649.00
91,800.00,0.66,269.00
92,31999.00,0.22,24999.00
93,699.00,0.57,299.00
94,999.00,0.8,199.00
95,40990.00,0.54,18990.00
96,349.00,0.17,290.00
97,799.00,0.69,249.00
98,999.00,0.65,345.00
99,1899.00,0.42,1099.00
100,1499.00,0.52,719.00
101,1499.00,0.77,349.00
102,1809.00,0.53,849.00
103,899.00,0.67,299.00
104,29999.00,0.27,21999.00
105,999.00,0.65,349.00
106,999.00,0.6,399.00
107,1299.00,0.65,449.00
108,999.00,0.7,299.00
109,65000.00,0.42,37999.00
110,800.00,0.88,99.00
111,20000.00,0.63,7390.00
112,999.00,0.73,273.10
113,23990.00,0.33,15990.00
114,999.00,0.6,399.00
115,1999.00,0.8,399.00
116,399.00,0.47,210.00
117,1999.00,0.35,1299.00
118,999.00,0.65,347.00
119,999.00,0.85,149.00
120,899.00,0.75,228.00
121,1999.00,0.2,1599.00
122,3999.00,0.63,1499.00
123,15999.00,0.47,8499.00
124,44990.00,0.53,20990.00
125,44999.00,0.27,32999.00
126,1700.00,0.53,799.00
127,595.00,0.62,229.00
128,27990.00,0.64,9999.00
129,599.00,0.42,349.00
130,1200.00,0.59,489.00
131,34990.00,0.31,23999.00
132,999.00,0.6,399.00
133,1299.00,0.73,349.00
134,299.00,0.4,179.00
135,1500.00,0.54,689.00
136,49990.00,0.38,30990.00
137,931.00,0.73,249.00
138,2399.00,0.58,999.00
139,399.00,0,399.00
140,699.00,0.5,349.00
141,1099.00,0.64,399.00
142,2999.00,0.43,1699.00
143,1099.00,0.4,655.00
144,1339.00,0.44,749.00
145,12999.00,0.23,9999.00
146,499.00,0.61,195.00
147,2100.00,0.52,999.00
148,899.00,0.44,499.00
149,599.00,0.31,416.00
150,699.00,0.47,368.00
